=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.09.23 18:04:41 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
FastIMU calibration & data example
Keep IMU level.
Calibration done!
Accel biases X/Y/Z: 
0.02, 0.06, 0.02
Gyro biases X/Y/Z: 
1.29, 1.58, 0.08
Setup finished
SampleType: 1 / 2
NumSample: 1 / 30
Press return to start next sample
... Start Reading Sample ...
0	0	0	-0.28	-0.50	-1.17	-28.10	57.85	-35.08
0	0	1	-0.27	-0.38	-1.08	-21.85	91.79	-45.95
0	0	2	-0.22	-0.28	-0.97	-31.23	110.73	-41.20
0	0	3	-0.19	-0.14	-0.94	-54.73	118.67	-35.83
0	0	4	-0.18	-0.08	-0.97	-51.85	120.98	-28.70
0	0	5	-0.13	-0.02	-0.93	-52.35	130.85	-36.14
0	0	6	-0.12	0.09	-0.86	-64.73	142.10	-36.33
0	0	7	-0.06	0.22	-0.80	-72.16	140.23	-24.26
0	0	8	-0.02	0.38	-0.72	-63.35	129.35	-15.83
0	0	9	-0.07	0.46	-0.78	-50.60	111.79	-1.20
0	0	10	-0.01	0.47	-0.84	-46.04	102.10	4.49
0	0	11	-0.01	0.54	-0.81	-48.10	88.29	4.24
0	0	12	-0.02	0.62	-0.78	-41.16	75.29	9.42
0	0	13	0.01	0.68	-0.80	-29.29	56.42	10.99
0	0	14	0.03	0.72	-0.84	-19.10	28.92	12.92
0	0	15	0.05	0.70	-0.85	-8.54	6.23	8.36
0	0	16	0.03	0.68	-0.84	-4.98	-9.52	6.05
0	0	17	0.02	0.67	-0.81	5.71	-21.52	7.74
0	0	18	0.03	0.64	-0.80	18.71	-36.96	6.30
0	0	19	0.03	0.62	-0.83	27.27	-55.71	8.61
0	0	20	0.02	0.55	-0.86	28.71	-70.96	7.11
0	0	21	-0.00	0.51	-0.86	22.34	-84.21	12.74
0	0	22	-0.03	0.46	-0.88	29.27	-95.33	15.67
0	0	23	-0.06	0.40	-0.90	33.40	-100.52	17.11
0	0	24	-0.06	0.34	-0.91	35.52	-104.21	16.99
0	0	25	-0.07	0.29	-0.91	33.27	-107.08	20.05
0	0	26	-0.08	0.24	-0.91	35.34	-108.77	16.55
0	0	27	-0.12	0.16	-0.93	49.09	-111.52	13.42
0	0	28	-0.15	0.07	-0.98	52.09	-112.96	23.67
0	0	29	-0.13	-0.01	-0.94	49.40	-105.52	12.99
0	0	30	-0.19	-0.07	-0.94	43.59	-100.27	15.17
0	0	31	-0.19	-0.09	-0.95	37.84	-87.40	19.49
0	0	32	-0.19	-0.12	-0.95	32.27	-59.65	3.17
0	0	33	-0.23	-0.15	-0.98	33.71	-64.52	16.05
0	0	34	-0.22	-0.19	-1.03	30.02	-53.90	12.61
0	0	35	-0.22	-0.17	-1.03	28.15	-45.46	5.67
0	0	36	-0.19	-0.15	-1.02	25.02	-35.65	2.92
0	0	37	-0.22	-0.13	-1.03	26.59	-19.77	-7.70
0	0	38	-0.23	-0.13	-1.03	30.71	-23.77	-5.08
0	0	39	-0.20	-0.17	-1.08	21.09	-17.77	-3.01
0	0	40	-0.18	-0.25	-1.10	6.65	30.29	-7.51
0	0	41	-0.39	-0.07	-1.07	9.15	17.35	-5.70
0	0	42	-0.19	-0.11	-1.01	-1.29	-5.90	3.86
0	0	43	-0.21	-0.09	-1.01	-6.60	7.98	-0.08
0	0	44	-0.20	-0.07	-1.01	-6.60	8.29	3.49
0	0	45	-0.19	-0.05	-1.03	-6.79	12.98	2.49
0	0	46	-0.16	-0.04	-1.01	-5.54	14.04	-6.83
0	0	47	-0.17	-0.02	-0.99	-6.98	13.04	-3.20
0	0	48	-0.16	-0.00	-0.97	-6.41	11.79	0.17
0	0	49	-0.16	0.01	-0.97	-5.48	9.10	3.99
SampleType: 1 / 2
NumSample: 2 / 30
Press return to start next sample
... Start Reading Sample ...
0	1	0	-0.35	-0.47	-1.27	-18.48	1.60	-13.70
0	1	1	-0.40	-0.63	-1.27	-24.29	33.67	-26.64
0	1	2	-0.43	-0.70	-1.15	-14.29	91.29	-30.26
0	1	3	-0.28	-0.53	-0.92	-44.54	159.42	-30.70
0	1	4	-0.14	-0.31	-0.94	-92.04	178.04	-20.08
0	1	5	-0.04	-0.13	-0.89	-110.16	190.98	-13.70
0	1	6	0.06	0.10	-0.84	-124.35	204.85	-13.14
0	1	7	0.12	0.34	-0.82	-123.29	199.92	-19.26
0	1	8	0.14	0.61	-0.77	-99.73	166.92	-23.26
0	1	9	0.10	0.72	-0.74	-59.23	125.85	-30.76
0	1	10	0.09	0.70	-0.75	-38.79	100.98	-31.39
0	1	11	0.09	0.77	-0.67	-35.73	86.79	-32.95
0	1	12	0.07	0.87	-0.61	-31.35	69.48	-31.33
0	1	13	0.10	0.93	-0.57	-7.41	49.54	-20.64
0	1	14	0.09	0.91	-0.62	16.02	22.17	-8.08
0	1	15	0.13	0.85	-0.74	19.40	-6.02	12.11
