SampleType	NumSample	numItem	accelX	accelY	accelZ	gyroX	gyroY	gyroZ
0	1	43	0.01	-0.11	-1.00	0.22	17.03	-0.64
0	1	44	0.01	-0.03	-1.00	-0.65	15.59	3.54
0	1	45	0.02	-0.00	-1.01	-0.40	6.40	0.86
0	1	46	0.01	0.02	-1.00	0.28	-2.10	-2.02
0	1	47	0.01	0.02	-1.00	-0.03	0.46	-1.77
0	1	48	0.00	0.02	-1.00	-0.28	1.28	1.79
0	1	49	-0.01	-0.00	-1.00	-0.15	-0.79	1.48
0	2	0	-0.00	-0.00	-1.00	-0.09	-0.35	-0.08
0	2	1	-0.00	-0.00	-1.00	-0.09	-0.04	-0.08
0	2	2	0.00	-0.00	-1.00	-0.15	-0.10	0.04
0	2	3	0.00	-0.02	-1.00	-0.22	-0.97	-0.08
0	2	4	0.00	-0.04	-1.00	-0.22	-2.22	0.11
0	2	5	0.00	-0.06	-1.00	-0.15	-3.72	0.23
0	2	6	0.02	-0.11	-1.00	-0.15	-8.66	-0.14
0	2	7	0.02	-0.10	-1.01	0.97	-10.79	-3.33
0	2	8	0.00	-0.20	-1.00	3.03	-13.22	-8.39
0	2	9	0.04	-0.35	-0.99	1.41	-2.04	-4.14
0	2	10	0.03	-0.26	-1.01	1.60	2.21	-10.71
0	2	11	0.06	-0.28	-0.99	10.78	7.21	1.42
0	2	12	0.04	-0.25	-1.00	6.53	11.46	3.29
0	2	13	0.03	-0.26	-0.97	-3.97	14.09	3.42
0	2	14	0.03	-0.33	-0.98	-23.97	27.90	13.86
0	2	15	0.00	-0.27	-1.05	6.35	39.59	18.48
0	2	16	0.02	-0.15	-0.99	-1.65	54.65	-3.27
0	2	17	-0.02	0.02	-1.01	0.53	44.53	-1.71
0	2	18	-0.02	0.08	-1.00	-2.22	30.71	-6.89
0	2	19	0.04	-0.08	-1.00	-0.22	24.46	-0.58
0	2	20	0.06	-0.15	-1.00	-1.47	49.96	-0.02
0	2	21	0.03	0.10	-1.00	-0.15	49.46	1.73
0	2	22	0.06	0.41	-1.00	-1.09	37.34	0.04
0	2	23	0.01	0.46	-1.00	-0.34	20.34	-0.21
0	2	24	-0.02	0.22	-1.00	-0.84	7.53	-1.14
0	2	25	-0.06	0.17	-1.00	0.53	16.03	2.73
0	2	26	-0.02	0.38	-1.00	0.03	2.03	-0.77
0	2	27	0.01	0.54	-1.00	-0.40	12.96	-0.27
0	2	28	-0.04	0.56	-1.00	0.22	-3.47	-0.83
0	2	29	-0.03	0.43	-1.00	-0.28	-2.97	0.73
0	2	30	-0.05	0.39	-1.00	0.72	-2.41	3.61
0	2	31	-0.06	0.47	-1.00	-1.53	-30.85	-1.64
0	2	32	0.02	0.26	-1.00	-0.65	-24.16	-0.64
0	2	33	0.01	0.25	-1.00	-1.15	-33.97	-0.89
0	2	34	0.02	0.27	-1.00	1.47	-33.60	-0.27
0	2	35	0.05	0.15	-1.00	-0.47	-41.54	-0.58
0	2	36	0.04	0.09	-1.01	-1.28	-25.79	0.42
0	2	37	-0.01	0.07	-1.03	-15.97	-32.22	-2.64
0	2	38	0.00	0.07	-0.97	-19.47	-39.79	-0.96
0	2	39	0.05	-0.10	-0.97	4.28	-40.54	3.98
0	2	40	0.05	-0.19	-1.01	14.47	-26.10	0.04
0	2	41	0.03	-0.12	-1.00	8.91	-23.10	1.73
0	2	42	0.05	-0.13	-1.02	12.10	-24.22	-3.27
0	2	43	0.05	-0.18	-1.01	-2.34	-20.04	1.04
0	2	44	0.02	-0.21	-1.05	-23.84	-13.72	-1.02
0	2	45	-0.01	-0.24	-1.00	-37.59	-1.16	-9.89
0	2	46	0.03	-0.30	-0.92	-1.22	-5.60	-8.83
0	2	47	0.01	-0.21	-0.95	44.78	-11.47	9.42
0	2	48	-0.04	-0.12	-1.10	27.85	-7.10	9.42
0	2	49	0.01	-0.12	-0.99	-5.90	-0.22	-1.27
0	3	0	0.01	-0.02	-1.00	-0.22	0.40	0.04
0	3	1	0.00	-0.03	-1.00	0.03	0.46	0.23
0	3	2	0.01	-0.04	-1.00	-0.03	-1.79	-0.39
0	3	3	0.01	-0.05	-1.00	-0.15	-2.72	0.23
0	3	4	-0.00	-0.02	-1.00	0.03	-2.60	-0.02
0	3	5	0.00	-0.03	-1.00	-0.15	-2.79	0.04
0	3	6	0.01	-0.07	-1.00	-0.15	-2.85	-0.08
0	3	7	0.03	-0.22	-1.00	-0.28	-2.04	-0.27
0	3	8	0.05	-0.38	-1.00	0.10	-2.35	-0.08
0	3	9	0.03	-0.22	-1.00	1.22	7.78	-2.46
0	3	10	0.06	-0.24	-0.99	3.22	0.90	-7.27
0	3	11	0.07	-0.18	-1.02	9.66	4.40	1.29
0	3	12	0.04	-0.14	-1.01	27.85	4.78	10.04
0	3	13	0.01	-0.15	-1.03	16.35	13.21	11.11
0	3	14	-0.02	-0.17	-0.99	-21.97	28.78	0.86
0	3	15	0.04	-0.20	-0.84	-34.40	35.28	-7.52
0	3	16	0.06	-0.19	-0.96	-12.22	42.59	6.98
0	3	17	0.00	-0.12	-1.13	7.66	42.78	0.11
0	3	18	0.11	0.02	-0.96	-3.65	49.53	-5.58
0	3	19	-0.01	0.11	-1.04	4.72	36.84	-1.14
0	3	20	-0.01	0.14	-0.99	20.10	15.21	-7.77
0	3	21	-0.06	0.07	-0.95	-17.28	19.40	-19.77
0	3	22	-0.03	-0.10	-0.99	-15.97	16.15	23.92
0	3	23	-0.01	-0.02	-1.04	4.85	7.78	0.67
0	3	24	0.07	0.27	-0.98	-1.15	23.09	1.73
0	3	25	-0.05	0.40	-1.01	0.35	17.78	-0.52
0	3	26	-0.02	0.33	-1.00	-0.28	15.40	-2.39
0	3	27	-0.06	0.29	-1.00	1.03	1.59	1.29
0	3	28	-0.02	0.39	-1.00	0.03	-8.10	0.29
0	3	29	-0.06	0.47	-1.00	-0.09	2.71	0.29
0	3	30	-0.07	0.45	-1.00	1.35	0.28	5.92
0	3	31	-0.06	0.41	-1.00	0.78	6.28	3.04
0	3	32	-0.10	0.41	-1.01	-2.40	-13.16	-5.52
0	3	33	0.05	0.41	-0.99	-2.22	-34.72	-4.08
0	3	34	0.01	0.30	-1.00	0.03	-9.91	1.54
0	3	35	0.02	0.27	-1.00	-2.28	-27.41	-0.77
